,epoch,theta,train_loss,train_accuracy,validation_loss,validation_accuracy,test_accuracy,ranks,# effective parameters,cr_test,# effective parameters train,cr_train
0,0,0.2,2.258120536804199,0.2225461155176162,2.1137654781341557,0.2671178579330444,0.269506424665451,"[10, 19, 92, 10]",135600,0.6850174216027874,144625,0.6640534262485482
1,1,0.2,1.6414390802383425,0.4731055200099945,1.1377403736114502,0.6829218864440918,0.6914809346199036,"[10, 19, 68, 10]",104400,0.7574912891986063,109585,0.7454471544715446
2,2,0.2,0.8491350412368774,0.7673231363296509,0.6123682856559753,0.822352409362793,0.8163813352584839,"[10, 19, 43, 10]",71900,0.8329849012775842,74310,0.8273867595818816
3,3,0.2,0.5831810235977173,0.833958625793457,0.4802872240543365,0.856190025806427,0.8530056476593018,"[10, 19, 28, 10]",52400,0.878281068524971,53745,0.8751567944250871
4,4,0.2,1.356651782989502,0.5513702034950256,1.457977294921875,0.5437896847724915,0.5437896251678467,"[10, 19, 19, 10]",40700,0.905458768873403,41622,0.9033170731707317
5,5,0.2,0.8733474612236023,0.7448848485946655,0.6214303374290466,0.8225517272949219,0.8219544887542725,"[10, 19, 11, 10]",30300,0.929616724738676,30982,0.9280325203252032
6,6,0.2,0.4902189075946808,0.8630901575088501,0.4489604234695434,0.8664411902427673,0.8704220652580261,"[10, 19, 11, 10]",30300,0.929616724738676,30982,0.9280325203252032
7,7,0.2,0.4747943878173828,0.8562768697738647,0.9930656552314758,0.6604297757148743,0.671078622341156,"[10, 19, 11, 10]",30300,0.929616724738676,30982,0.9280325203252032
8,8,0.2,0.4045124351978302,0.8816725611686707,0.5740041136741638,0.8120025396347046,0.8152865767478943,"[10, 19, 11, 10]",30300,0.929616724738676,30982,0.9280325203252032
9,9,0.2,0.3456639945507049,0.8992363214492798,0.3628541827201843,0.8895301818847656,0.8912220597267151,"[10, 19, 10, 10]",29000,0.9326364692218351,29661,0.9311010452961672
10,10,0.2,0.3325398564338684,0.9022939205169678,0.2782200276851654,0.9171971678733826,0.9165006279945374,"[10, 19, 10, 10]",29000,0.9326364692218351,29661,0.9311010452961672
11,11,0.2,0.3005070686340332,0.91074538230896,0.3004205524921417,0.9106290340423584,0.9051551818847656,"[10, 19, 10, 10]",29000,0.9326364692218351,29661,0.9311010452961672
12,12,0.2,0.3244443237781524,0.9076088666915894,0.3068528473377228,0.9083396792411804,0.909335196018219,"[10, 19, 10, 10]",29000,0.9326364692218351,29661,0.9311010452961672
13,13,0.2,0.2879568636417389,0.915680766105652,0.441174566745758,0.855593204498291,0.849422812461853,"[10, 19, 10, 10]",29000,0.9326364692218351,29661,0.9311010452961672
14,14,0.2,0.3040712475776672,0.9126839637756348,0.2979109585285187,0.9142116904258728,0.9142112731933594,"[10, 19, 10, 10]",29000,0.9326364692218351,29661,0.9311010452961672
15,15,0.2,0.2495607286691665,0.9259114265441896,0.2220051735639572,0.9326230883598328,0.9318270683288574,"[10, 19, 10, 10]",29000,0.9326364692218351,29661,0.9311010452961672
16,16,0.2,0.2386769205331802,0.9291486740112304,0.3468542993068695,0.8875399231910706,0.878483235836029,"[10, 19, 10, 10]",29000,0.9326364692218351,29661,0.9311010452961672
17,17,0.2,0.2425615638494491,0.9260314702987672,0.3251250684261322,0.8995821475982666,0.8998804688453674,"[10, 19, 10, 10]",29000,0.9326364692218351,29661,0.9311010452961672
18,18,0.2,0.2362014055252075,0.9286087155342102,0.2341528981924057,0.9299362897872924,0.9245621562004088,"[10, 19, 10, 10]",29000,0.9326364692218351,29661,0.9311010452961672
19,19,0.2,0.460042804479599,0.8683665990829468,0.2672881782054901,0.922670841217041,0.9198845028877258,"[10, 19, 10, 10]",29000,0.9326364692218351,29661,0.9311010452961672
20,20,0.2,0.4077737331390381,0.8730617761611938,1.4070794582366943,0.5186106562614441,0.5236860513687134,"[10, 19, 10, 10]",29000,0.9326364692218351,29661,0.9311010452961672
21,21,0.2,0.5462687015533447,0.8287440538406372,0.4395566880702972,0.8591760396957397,0.859076201915741,"[10, 19, 10, 10]",29000,0.9326364692218351,29661,0.9311010452961672
22,22,0.2,0.3965630531311035,0.8810333609580994,0.5075175166130066,0.8199641108512878,0.8204618096351624,"[10, 19, 10, 10]",29000,0.9326364692218351,29661,0.9311010452961672
23,23,0.2,0.3320249915122986,0.8993960022926331,0.3774597942829132,0.8757964968681335,0.8752983212471008,"[10, 19, 10, 10]",29000,0.9326364692218351,29661,0.9311010452961672
24,24,0.2,0.2841062843799591,0.9145020842552184,0.8189433217048645,0.7091959714889526,0.7130774855613708,"[10, 19, 9, 10]",27700,0.9356562137049942,28342,0.9341649245063879
25,25,0.2,0.2612473368644714,0.9207164645195008,0.279620349407196,0.9099323153495787,0.9073446393013,"[10, 19, 9, 10]",27700,0.9356562137049942,28342,0.9341649245063879
26,26,0.2,0.2440224885940551,0.9253723621368408,0.3109327852725982,0.90306556224823,0.8983873724937439,"[10, 19, 9, 10]",27700,0.9356562137049942,28342,0.9341649245063879
27,27,0.2,0.2340263575315475,0.9283287525177002,0.3454093039035797,0.8820663094520569,0.8807723522186279,"[10, 19, 9, 10]",27700,0.9356562137049942,28342,0.9341649245063879
28,28,0.2,0.242837369441986,0.9268904328346252,0.3094128668308258,0.8959993720054626,0.8931131362915039,"[10, 19, 9, 10]",27700,0.9356562137049942,28342,0.9341649245063879
29,29,0.2,0.5349148511886597,0.8484256863594055,0.5247459411621094,0.8283241987228394,0.8338972926139832,"[10, 19, 9, 10]",27700,0.9356562137049942,28342,0.9341649245063879
30,30,0.2,0.3848243951797485,0.8870680332183838,0.3830874860286712,0.8744029998779297,0.882862389087677,"[10, 19, 9, 10]",27700,0.9356562137049942,28342,0.9341649245063879
31,31,0.2,0.3022783994674682,0.9074885845184326,0.3651563823223114,0.8813695311546326,0.8786823749542236,"[10, 19, 9, 10]",27700,0.9356562137049942,28342,0.9341649245063879
32,32,0.2,0.2904594242572784,0.909806191921234,0.2384232431650161,0.9292395114898682,0.9308320879936218,"[10, 19, 9, 10]",27700,0.9356562137049942,28342,0.9341649245063879
33,33,0.2,0.3364457488059997,0.9041919708251952,0.2239397466182708,0.9342157244682312,0.9341161251068116,"[10, 19, 9, 10]",27700,0.9356562137049942,28342,0.9341649245063879
34,34,0.2,0.3266100585460663,0.9075492024421692,0.5310327410697937,0.8200635313987732,0.8252387642860413,"[10, 19, 9, 10]",27700,0.9356562137049942,28342,0.9341649245063879
35,35,0.2,0.3013445138931274,0.9106056690216064,1.188396692276001,0.6732684969902039,0.6779459118843079,"[10, 19, 9, 10]",27700,0.9356562137049942,28342,0.9341649245063879
36,36,0.2,0.3060846626758575,0.9094868302345276,0.2661670744419098,0.918789803981781,0.914709210395813,"[10, 19, 9, 10]",27700,0.9356562137049942,28342,0.9341649245063879
37,37,0.2,0.3145804405212402,0.9125235080718994,0.2909119725227356,0.9101311564445496,0.9092355370521544,"[10, 19, 9, 10]",27700,0.9356562137049942,28342,0.9341649245063879
38,38,0.2,0.2830102145671844,0.915061891078949,1.4854202270507812,0.5590168237686157,0.5617036819458008,"[10, 19, 9, 10]",27700,0.9356562137049942,28342,0.9341649245063879
39,39,0.2,0.2658019065856933,0.919417679309845,0.3096563518047333,0.8995820879936218,0.8990845084190369,"[10, 19, 9, 10]",27700,0.9356562137049942,28342,0.9341649245063879
