,epoch,theta,train_loss,train_accuracy,validation_loss,validation_accuracy,test_accuracy,ranks,# effective parameters,cr_test,# effective parameters train,cr_train
0,0,0.11,2.273782253265381,0.2366726547479629,2.265181303024292,0.2148686051368713,0.2145701199769973,"[15, 46, 218, 10]",314475,0.26951219512195124,364440,0.15344947735191639
1,1,0.11,1.8996919393539429,0.3106016814708709,1.6486378908157349,0.4247611463069916,0.4209792912006378,"[15, 46, 207, 10]",300175,0.3027293844367015,345465,0.19752613240418115
2,2,0.11,1.4173535108566284,0.5051947236061096,1.8660615682601929,0.327030211687088,0.3268312811851501,"[15, 46, 192, 10]",280675,0.3480255516840882,319980,0.25672473867595824
3,3,0.11,1.3758870363235474,0.5094704031944275,1.0256669521331787,0.6546577215194702,0.664012610912323,"[15, 46, 178, 10]",262475,0.39030197444831594,296600,0.31103368176538904
4,4,0.11,0.756655752658844,0.7628868818283081,0.5907148122787476,0.8124004602432251,0.8184710144996643,"[15, 46, 163, 10]",242975,0.43559814169570266,271985,0.3682113821138211
5,5,0.11,0.4795047342777252,0.85595703125,0.4101689755916595,0.8756964802742004,0.8813695907592773,"[15, 46, 153, 10]",229975,0.4657955865272938,255825,0.4057491289198606
6,6,0.11,0.3757850527763366,0.8887864351272583,0.3607492446899414,0.8927149772644043,0.8923166990280151,"[15, 46, 145, 10]",219575,0.48995354239256683,243041,0.4354448315911731
7,7,0.11,0.3278205096721649,0.9033725261688232,0.3519515693187713,0.8945065140724182,0.8923168182373047,"[15, 46, 138, 10]",210475,0.5110917537746806,231960,0.461184668989547
8,8,0.11,0.304665595293045,0.9100859761238098,0.3560825288295746,0.8911225199699402,0.8996814489364624,"[15, 46, 132, 10]",202675,0.5292102206736353,222540,0.48306620209059237
9,9,0.11,0.3644667863845825,0.8926429748535156,0.3542732298374176,0.894207775592804,0.8941081762313843,"[15, 46, 127, 10]",196175,0.5443089430894309,214745,0.5011730545876887
10,10,0.11,0.2642452418804168,0.9212756156921388,0.2822517454624176,0.9193866848945618,0.9189887046813964,"[15, 46, 123, 10]",190975,0.5563879210220674,208545,0.515574912891986
11,11,0.11,0.4146910309791565,0.8803151845932007,0.4792145490646362,0.833996593952179,0.8360868096351624,"[15, 46, 118, 10]",184475,0.5714866434378629,200840,0.533472706155633
12,12,0.11,0.7714807391166687,0.7468427419662476,0.58638596534729,0.812499463558197,0.807921826839447,"[15, 46, 108, 10]",171475,0.6016840882694541,185580,0.5689198606271777
13,13,0.11,0.4813573658466339,0.851021945476532,0.4394803643226623,0.8647491335868835,0.8638537526130676,"[15, 46, 101, 10]",162375,0.622822299651568,175017,0.5934564459930314
14,14,0.11,0.3626927137374878,0.8909637331962585,0.3649636805057525,0.8873406648635864,0.8852508664131165,"[15, 46, 94, 10]",153275,0.6439605110336818,164552,0.6177653890824623
15,15,0.11,0.3663855195045471,0.8963989615440369,0.3504369258880615,0.8954018354415894,0.8956009745597839,"[15, 46, 89, 10]",146775,0.6590592334494774,157137,0.6349895470383276
16,16,0.11,0.3509850800037384,0.9019338488578796,0.4175885021686554,0.8737061619758606,0.8698249459266663,"[15, 46, 85, 10]",141575,0.6711382113821138,151241,0.64868524970964
17,17,0.11,0.4188945591449737,0.8884864449501038,0.6185414791107178,0.7904062867164612,0.7869229316711426,"[15, 46, 83, 10]",138975,0.677177700348432,148305,0.6555052264808363
18,18,0.11,0.3177661001682281,0.9009148478507996,0.5213808417320251,0.8314090967178345,0.8352906703948975,"[15, 46, 79, 10]",133775,0.6892566782810685,142457,0.669089430894309
19,19,0.11,0.426687479019165,0.8803536295890808,0.4034338593482971,0.8706210851669312,0.8715164661407471,"[15, 46, 76, 10]",129875,0.6983159117305459,138092,0.6792288037166085
20,20,0.11,0.4090190231800079,0.8809529542922974,0.3775677978992462,0.886942446231842,0.8876389861106873,"[15, 46, 73, 10]",125975,0.7073751451800232,133745,0.6893263646922183
21,21,0.11,0.3837438225746155,0.8925226330757141,0.3951397836208343,0.8743032813072205,0.8772889375686646,"[15, 46, 70, 10]",122075,0.7164343786295007,129416,0.6993821138211382
22,22,0.11,0.3426869809627533,0.9049710631370544,0.3193825483322143,0.902268886566162,0.9038612246513368,"[15, 46, 67, 10]",118175,0.7254936120789779,125105,0.7093960511033681
23,23,0.11,0.3571468889713287,0.899456799030304,0.4179099798202514,0.8719149231910706,0.8696256875991821,"[15, 46, 64, 10]",114275,0.7345528455284553,120812,0.7193681765389082
24,24,0.11,0.2711899876594543,0.9167998433113098,0.4822624325752258,0.834693431854248,0.8384754657745361,"[15, 46, 61, 10]",110375,0.7436120789779326,116537,0.7292984901277584
25,25,0.11,0.2924041450023651,0.9190574288368224,0.2396066039800644,0.9277467131614684,0.9299362897872924,"[15, 46, 59, 10]",107775,0.7496515679442508,113697,0.7358954703832752
26,26,0.11,0.276226669549942,0.9214356541633606,0.3919914662837982,0.8799765110015869,0.8745025396347046,"[15, 46, 55, 10]",102575,0.7617305458768874,108041,0.7490336817653891
27,27,0.11,0.2385644167661667,0.9286088347434998,0.2575518786907196,0.9188889861106871,0.9224722385406494,"[15, 46, 53, 10]",99975,0.7677700348432056,105225,0.7555749128919861
28,28,0.11,0.2997604310512543,0.9148026704788208,0.2945281565189361,0.907145857810974,0.907842457294464,"[15, 46, 50, 10]",96075,0.776829268292683,101016,0.7653519163763066
29,29,0.11,0.280480682849884,0.9199172258377076,0.5213684439659119,0.8276271820068359,0.8297173380851746,"[15, 46, 48, 10]",93475,0.7828687572590012,98220,0.7718466898954703
30,30,0.11,0.2895661890506744,0.9191574454307556,0.2397721707820892,0.9263533353805542,0.9275475144386292,"[15, 46, 46, 10]",90875,0.7889082462253194,95432,0.7783228803716609
31,31,0.11,0.2846178412437439,0.9198179244995116,0.2824237942695617,0.9121222496032716,0.9110270142555236,"[15, 46, 43, 10]",86975,0.7979674796747968,91265,0.7880023228803716
32,32,0.11,0.2216207236051559,0.9325865507125854,0.2106911540031433,0.9361064434051514,0.9358076453208924,"[15, 46, 40, 10]",83075,0.8070267131242741,87116,0.7976399535423926
33,33,0.11,0.2131451815366745,0.9344035387039183,0.2590774297714233,0.9195857644081116,0.921476662158966,"[15, 46, 39, 10]",81775,0.8100464576074332,85737,0.8008432055749128
34,34,0.11,0.2548297643661499,0.9297081828117372,0.2168701887130737,0.9326232075691224,0.9334194660186768,"[15, 46, 38, 10]",80475,0.8130662020905923,84360,0.8040418118466899
35,35,0.11,0.257901132106781,0.9338245987892152,0.2660276889801025,0.9146099090576172,0.9141122698783876,"[15, 46, 36, 10]",77875,0.8191056910569106,81612,0.810425087108014
36,36,0.11,0.2663323283195495,0.9295480847358704,0.318087637424469,0.9027666449546814,0.9067475199699402,"[15, 46, 36, 10]",77875,0.8191056910569106,81612,0.810425087108014
37,37,0.11,0.2574213743209839,0.9248719215393066,0.4769417941570282,0.8443467617034912,0.8406646847724915,"[15, 46, 34, 10]",75275,0.8251451800232288,78872,0.8167897793263647
38,38,0.11,0.2023926228284835,0.9379603862762452,0.5222744941711426,0.8347930908203125,0.831508457660675,"[15, 46, 31, 10]",71375,0.8342044134727061,74777,0.8263019744483159
39,39,0.11,0.1902323067188263,0.9417373538017272,0.2213643938302993,0.927945911884308,0.9289408922195436,"[15, 46, 29, 10]",68775,0.8402439024390244,72057,0.8326202090592334
40,40,0.11,0.1932787746191024,0.9388794898986816,1.435707449913025,0.6725715398788452,0.6757563352584839,"[15, 46, 27, 10]",66175,0.8462833914053426,69345,0.8389198606271777
41,41,0.11,0.279352605342865,0.929509162902832,0.3964915573596954,0.8749998211860657,0.8686303496360779,"[15, 46, 26, 10]",64875,0.8493031358885017,67992,0.8420627177700348
42,42,0.11,0.2376061677932739,0.9288493990898132,0.5637587904930115,0.833001434803009,0.8263334631919861,"[15, 46, 23, 10]",60975,0.8583623693379792,63945,0.8514634146341463
43,43,0.11,0.407157152891159,0.9008145928382874,5.088143825531006,0.259653627872467,0.2597531676292419,"[15, 46, 20, 10]",57075,0.8674216027874564,59916,0.860822299651568
44,44,0.11,0.35137540102005,0.8935021758079529,0.4836963713169098,0.8448446393013,0.8446456789970398,"[15, 46, 17, 10]",53175,0.8764808362369338,55905,0.8701393728222997
45,45,0.11,0.2458181381225586,0.9259913563728333,0.8914944529533386,0.7352706789970398,0.7463175058364868,"[15, 46, 16, 10]",51875,0.879500580720093,54572,0.8732357723577235
46,46,0.11,0.2248061895370483,0.9318863749504088,0.8614212274551392,0.7319865226745605,0.7333797812461853,"[15, 46, 16, 10]",51875,0.879500580720093,54572,0.8732357723577235
47,47,0.11,0.2335692197084427,0.9282894134521484,0.2498112767934799,0.92316871881485,0.921576201915741,"[15, 46, 16, 10]",51875,0.879500580720093,54572,0.8732357723577235
48,48,0.11,0.2121728807687759,0.9352434277534484,0.3297958076000213,0.8943072557449341,0.8905254602432251,"[15, 46, 16, 10]",51875,0.879500580720093,54572,0.8732357723577235
