,epoch,theta,train_loss,train_accuracy,validation_loss,validation_accuracy,ranks,# effective parameters,# effective parameters train,cr_train,cr_test
0,0,0.11,2.0807323455810547,0.375439578005116,2.311461925506592,0.1466958598726115,"[15, 46, 43, 10]",86975,91265,0.7880023228803716,0.7979674796747968
1,1,0.11,2.0720150470733643,0.3854100063938623,1.9754282236099243,0.480891719745223,"[15, 46, 36, 10]",77875,81612,0.810425087108014,0.8191056910569106
2,2,0.11,1.9245429039001465,0.5335477941176456,1.882299900054932,0.5760350318471337,"[15, 46, 31, 10]",71375,74777,0.8263019744483159,0.8342044134727061
3,3,0.11,1.886125922203064,0.5717910805626583,1.9023295640945437,0.5568272292993628,"[15, 46, 27, 10]",66175,69345,0.8389198606271777,0.8462833914053426
4,4,0.11,1.8745002746582031,0.5827006074168789,1.8627523183822632,0.59375,"[15, 46, 25, 10]",63575,66641,0.8452009291521487,0.8523228803716608
5,5,0.11,1.86878502368927,0.5874560421994872,1.859495997428894,0.5961385350318473,"[15, 46, 24, 10]",62275,65292,0.8483344947735192,0.8553426248548199
6,6,0.11,1.8829628229141235,0.5743486253196923,1.8674105405807493,0.588873407643312,"[15, 46, 22, 10]",59675,62600,0.8545876887340302,0.8613821138211382
7,7,0.11,1.8676252365112305,0.5881753516624034,1.8591113090515137,0.5960390127388534,"[15, 46, 21, 10]",58375,61257,0.8577073170731707,0.8644018583042974
8,8,0.11,1.8640044927597048,0.5909526854219942,1.857432723045349,0.5972332802547771,"[15, 46, 20, 10]",57075,59916,0.860822299651568,0.8674216027874564
9,9,0.11,1.8615097999572756,0.5924312659846542,1.859427809715271,0.5944466560509556,"[15, 46, 19, 10]",55775,58577,0.8639326364692218,0.8704413472706156
10,10,0.11,1.851842999458313,0.6019421355498715,1.879910945892334,0.5763335987261146,"[15, 46, 18, 10]",54475,57240,0.8670383275261324,0.8734610917537746
11,11,0.11,1.7833422422409058,0.6745124680306911,1.7780299186706543,0.6795382165605099,"[15, 46, 16, 10]",51875,54572,0.8732357723577235,0.879500580720093
12,12,0.11,1.7775306701660156,0.6804068094629167,1.7728124856948853,0.6851114649681528,"[15, 46, 15, 10]",50575,53241,0.8763275261324042,0.8825203252032521
13,13,0.11,1.7757545709609983,0.6821451406649628,1.7705934047698977,0.6868033439490446,"[15, 46, 15, 10]",50575,53241,0.8763275261324042,0.8825203252032521
