,epoch,theta,train_loss,train_accuracy,validation_loss,validation_accuracy,test_accuracy,ranks,# effective parameters,cr_test,# effective parameters train,cr_train
0,0,0.11,2.161007881164551,0.2861651480197906,1.8009252548217771,0.3194665312767029,0.3215564787387848,"[16, 45, 213, 10]",307470,0.2857839721254355,355220,0.17486643437862948
1,1,0.11,1.6863950490951538,0.3823126852512359,1.5155164003372192,0.4560111165046692,0.447850227355957,"[16, 45, 200, 10]",290570,0.3250406504065041,332951,0.22659465737514517
2,2,0.11,1.2543383836746216,0.58533775806427,0.9428085088729858,0.7001397013664246,0.702229380607605,"[16, 45, 184, 10]",269770,0.37335656213704993,306007,0.28918234610917537
3,3,0.11,0.9430105090141296,0.6871595978736877,0.8343604207038879,0.7473130226135254,0.7438295483589172,"[16, 45, 171, 10]",252870,0.4126132404181184,284492,0.3391591173054588
4,4,0.11,0.7167446613311768,0.777094304561615,1.0437604188919067,0.6122613549232483,0.6064889430999756,"[16, 45, 159, 10]",237270,0.4488501742160279,264932,0.3845946573751452
5,5,0.11,0.7277829051017761,0.7720184326171875,1.444822072982788,0.4823846518993377,0.4774084091186523,"[16, 45, 149, 10]",224270,0.47904761904761906,248852,0.42194657375145184
6,6,0.11,0.5981670618057251,0.8153761029243469,0.5138710737228394,0.8392712473869324,0.8415605425834656,"[16, 45, 140, 10]",212570,0.5062253193960511,234551,0.4551660859465737
7,7,0.11,0.516758143901825,0.8415313363075256,0.5888747572898865,0.8083201050758362,0.809912383556366,"[16, 45, 134, 10]",204770,0.5243437862950058,225107,0.47710336817653887
8,8,0.11,0.4305280447006225,0.8723024725914001,0.4035374224185943,0.8796775341033936,0.8740048408508301,"[16, 45, 125, 10]",193070,0.5515214866434379,211076,0.5096957026713125
9,9,0.11,0.3519426584243774,0.8946605920791626,0.3442623317241668,0.8971935510635376,0.8946055769920349,"[16, 45, 119, 10]",185270,0.5696399535423926,201812,0.5312148664343787
