,epoch,theta,train_loss,train_accuracy,validation_loss,validation_accuracy,test_accuracy,ranks,# effective parameters,cr_test,# effective parameters train,cr_train
0,0,0.2,2.291189193725586,0.1603858321905136,2.2974977493286133,0.1122612208127975,0.1125597655773162,"[10, 20, 93, 10]",137450,0.6807200929152148,146699,0.6592357723577236
1,1,0.2,2.272913694381714,0.1890785098075866,2.218724250793457,0.2405454218387603,0.2420382648706436,"[10, 20, 93, 10]",137450,0.6807200929152148,146699,0.6592357723577236
2,2,0.2,1.90450131893158,0.3029089272022247,1.6733310222625732,0.3818671703338623,0.383758008480072,"[10, 20, 93, 10]",137450,0.6807200929152148,146699,0.6592357723577236
3,3,0.2,1.4358059167861938,0.4825965464115143,1.147381067276001,0.5982285141944885,0.6019108295440674,"[10, 20, 75, 10]",114050,0.7350754936120789,120275,0.7206155632984901
4,4,0.2,0.907265305519104,0.7114965319633484,0.7266440391540527,0.7667196989059448,0.7717952728271484,"[10, 20, 48, 10]",78950,0.8166085946573751,81854,0.8098629500580721
5,5,0.2,0.9396032094955444,0.6901373863220215,1.5361368656158447,0.4810906648635864,0.4743231534957886,"[10, 20, 37, 10]",64650,0.8498257839721255,66619,0.8452520325203252
6,6,0.2,0.937365710735321,0.6999677419662476,0.739580512046814,0.7318871021270752,0.7212380170822144,"[10, 20, 21, 10]",43850,0.8981416957026713,44891,0.8957235772357723
7,7,0.2,0.6249240040779114,0.8035882711410522,0.794225811958313,0.719645619392395,0.7180535197257996,"[10, 20, 11, 10]",30850,0.9283391405342625,31571,0.926664343786295
8,8,0.2,0.4628402292728424,0.8594538569450378,0.4525207281112671,0.8568869233131409,0.8569861650466919,"[10, 20, 9, 10]",28250,0.9343786295005807,28931,0.9327967479674797
9,9,0.2,0.3552200496196747,0.8935409784317017,0.3424053490161896,0.8958002924919128,0.8924165368080139,"[10, 20, 9, 10]",28250,0.9343786295005807,28931,0.9327967479674797
10,10,0.2,0.3087567687034607,0.9072282314300536,0.398270308971405,0.8706206679344177,0.8680335879325867,"[10, 20, 9, 10]",28250,0.9343786295005807,28931,0.9327967479674797
