,epoch,theta,train_loss,train_accuracy,validation_loss,validation_accuracy,test_accuracy,ranks,# effective parameters,cr_test,# effective parameters train,cr_train
0,0,0.3,2.2596678733825684,0.2110571861267089,2.117223262786865,0.2784633636474609,0.2713972628116607,"[6, 9, 56, 10]",83120,0.8069221835075493,86473,0.7991335656213705
1,1,0.3,1.5368497371673584,0.5126876831054688,1.1199690103530884,0.6154457926750183,0.6125597953796387,"[6, 9, 32, 10]",51920,0.8793960511033682,53161,0.876513356562137
2,2,0.3,0.870829164981842,0.7266216278076172,0.7738432884216309,0.7518907189369202,0.7526872754096985,"[6, 9, 13, 10]",27220,0.9367711962833914,27606,0.9358745644599303
3,3,0.3,0.8494202494621277,0.730957567691803,0.799155056476593,0.7719942927360535,0.7718948125839233,"[6, 9, 8, 10]",20720,0.951869918699187,21001,0.9512171893147503
4,4,0.3,0.6211949586868286,0.8183532953262329,0.5224230885505676,0.8415605425834656,0.8347927927970886,"[6, 9, 8, 10]",20720,0.951869918699187,21001,0.9512171893147503
5,5,0.3,0.4504567384719848,0.8675664067268372,0.417238712310791,0.8781849145889282,0.8748008608818054,"[6, 9, 8, 10]",20720,0.951869918699187,21001,0.9512171893147503
6,6,0.3,0.3966926336288452,0.8829113245010376,0.3816791772842407,0.890625,0.885350227355957,"[6, 9, 8, 10]",20720,0.951869918699187,21001,0.9512171893147503
7,7,0.3,0.3777282238006592,0.8875671625137329,0.3362129628658294,0.9013736248016356,0.8973922729492188,"[6, 9, 8, 10]",20720,0.951869918699187,21001,0.9512171893147503
8,8,0.3,0.3508546352386474,0.8958190083503723,0.3409647345542907,0.9011744260787964,0.896198034286499,"[6, 9, 8, 10]",20720,0.951869918699187,21001,0.9512171893147503
9,9,0.3,0.3296721279621124,0.903012990951538,0.4646864533424377,0.8452427983283997,0.8373802304267883,"[6, 9, 8, 10]",20720,0.951869918699187,21001,0.9512171893147503
10,10,0.3,0.3198379874229431,0.90431147813797,0.481932669878006,0.8420581221580505,0.8343947529792786,"[6, 9, 8, 10]",20720,0.951869918699187,21001,0.9512171893147503
11,11,0.3,0.5189558863639832,0.8414917588233948,1.4235771894454956,0.485569030046463,0.4848725199699402,"[6, 9, 8, 10]",20720,0.951869918699187,21001,0.9512171893147503
12,12,0.3,0.5530080795288086,0.8364760279655457,0.370727926492691,0.8916200399398804,0.8817675113677979,"[6, 9, 8, 10]",20720,0.951869918699187,21001,0.9512171893147503
13,13,0.3,0.3205180168151855,0.9059903025627136,0.2923706471920013,0.9148088693618774,0.9095341563224792,"[6, 9, 8, 10]",20720,0.951869918699187,21001,0.9512171893147503
14,14,0.3,0.2969729006290436,0.9113047122955322,0.2741285562515259,0.9196851849555968,0.9164013266563416,"[6, 9, 8, 10]",20720,0.951869918699187,21001,0.9512171893147503
15,15,0.3,0.2863939106464386,0.912982940673828,0.5379879474639893,0.8222528696060181,0.8116043210029602,"[6, 9, 8, 10]",20720,0.951869918699187,21001,0.9512171893147503
