,epoch,theta,train_loss,train_accuracy,validation_loss,validation_accuracy,test_accuracy,ranks,# effective parameters,cr_test,# effective parameters train,cr_train
0,0,0.2,1.994055986404419,0.3792954683303833,1.7344194650650024,0.3638534843921661,0.3528066575527191,"[11, 20, 102, 10]",149195,0.6534378629500581,160220,0.6278281068524971
1,1,0.2,1.2593923807144165,0.610713541507721,0.6679354310035706,0.8070260882377625,0.7991639971733093,"[11, 20, 79, 10]",119295,0.7228919860627178,126157,0.706952380952381
2,2,0.2,1.0824294090270996,0.6531119346618652,0.6003469824790955,0.838077187538147,0.8321056962013245,"[11, 20, 62, 10]",97195,0.7742276422764227,101660,0.763855981416957
3,3,0.2,0.4733531177043915,0.8626703023910522,0.4064821302890777,0.878085196018219,0.8713178634643555,"[11, 20, 51, 10]",82895,0.8074448315911731,86117,0.7999605110336818
4,4,0.2,0.3834404051303863,0.8871470093727112,0.4796332418918609,0.8523091673851013,0.8494227528572083,"[11, 20, 43, 10]",72495,0.831602787456446,74965,0.8258652729384437
5,5,0.2,0.4452585577964782,0.8669070601463318,0.3325800597667694,0.90634948015213,0.8987859487533569,"[11, 20, 37, 10]",64695,0.8497212543554007,66685,0.8450987224157955
6,6,0.2,0.302705854177475,0.9121833443641664,0.2778727114200592,0.9208794832229614,0.9182921051979064,"[11, 20, 31, 10]",56895,0.8678397212543554,58477,0.8641649245063879
7,7,0.2,0.2747262418270111,0.9204366207122804,0.2640879452228546,0.9200834035873412,0.9200835824012756,"[11, 20, 27, 10]",51695,0.8799186991869918,53045,0.8767828106852498
8,8,0.2,0.2598570585250854,0.9227744340896606,0.2530761063098907,0.9259553551673888,0.9235664010047911,"[11, 20, 24, 10]",47795,0.8889779326364692,48992,0.8861974448315911
9,9,0.2,0.2560100257396698,0.9247530698776244,0.2355585694313049,0.9313294291496276,0.926950454711914,"[11, 20, 20, 10]",42595,0.9010569105691058,43616,0.8986852497096399
10,10,0.2,0.6457662582397461,0.7914802432060242,1.5227253437042236,0.482384443283081,0.4674562513828277,"[11, 20, 19, 10]",41295,0.9040766550522648,42277,0.9017955865272939
11,11,0.2,0.8988210558891296,0.7231453657150269,0.5617278218269348,0.8212578892707825,0.8179737329483032,"[11, 20, 15, 10]",36095,0.9161556329849013,36941,0.9141904761904762
12,12,0.2,0.5817558765411377,0.8201918601989746,0.4751401841640472,0.8497212529182434,0.8415603041648865,"[11, 20, 14, 10]",34795,0.9191753774680604,35612,0.9172775842044135
