,epoch,theta,train_loss,train_accuracy,validation_loss,validation_accuracy,ranks,# effective parameters,# effective parameters train,cr_train,cr_test
0,0,0.3,1.9272385835647583,0.5329084079283879,1.7467944622039795,0.7211385350318475,"[6, 9, 4, 10]",15520,15753,0.9634076655052265,0.9639488966318235
1,1,0.3,1.6890721321105957,0.7813299232736585,1.6593011617660522,0.8088176751592363,"[6, 9, 4, 10]",15520,15753,0.9634076655052265,0.9639488966318235
2,2,0.3,1.6531370878219604,0.8114410166240433,2.04341197013855,0.4144108280254779,"[6, 9, 4, 10]",15520,15753,0.9634076655052265,0.9639488966318235
3,3,0.3,1.7166469097137451,0.7467631074168817,1.6358919143676758,0.8268312101910834,"[6, 9, 4, 10]",15520,15753,0.9634076655052265,0.9639488966318235
4,4,0.3,1.776952028274536,0.6867806905370845,1.7495156526565552,0.7178542993630573,"[6, 9, 4, 10]",15520,15753,0.9634076655052265,0.9639488966318235
5,5,0.3,1.6800336837768557,0.7841472186700789,1.6360899209976196,0.8274283439490451,"[6, 9, 4, 10]",15520,15753,0.9634076655052265,0.9639488966318235
6,6,0.3,1.63218355178833,0.8309422953964225,1.6265724897384644,0.8374800955414019,"[6, 9, 4, 10]",15520,15753,0.9634076655052265,0.9639488966318235
7,7,0.3,1.625981092453003,0.8374960038363196,1.6101738214492798,0.8526074840764336,"[6, 9, 4, 10]",15520,15753,0.9634076655052265,0.9639488966318235
8,8,0.3,1.645106554031372,0.8182744565217414,1.6319931745529177,0.8295183121019113,"[6, 9, 4, 10]",15520,15753,0.9634076655052265,0.9639488966318235
9,9,0.3,1.6176111698150637,0.84512867647059,1.606047749519348,0.8560907643312106,"[6, 9, 4, 10]",15520,15753,0.9634076655052265,0.9639488966318235
10,10,0.3,1.6105704307556152,0.8524816176470617,1.609181523323059,0.8527070063694274,"[6, 9, 4, 10]",15520,15753,0.9634076655052265,0.9639488966318235
11,11,0.3,1.6047581434249878,0.8571771099744278,1.615466594696045,0.8458399681528668,"[6, 9, 4, 10]",15520,15753,0.9634076655052265,0.9639488966318235
12,12,0.3,1.5980075597763062,0.8638307225063964,1.6137001514434814,0.8480294585987267,"[6, 9, 4, 10]",15520,15753,0.9634076655052265,0.9639488966318235
13,13,0.3,1.5952640771865845,0.8671475383631737,1.598988056182861,0.8623606687898098,"[6, 9, 4, 10]",15520,15753,0.9634076655052265,0.9639488966318235
14,14,0.3,1.5933376550674438,0.8693853900255786,1.6046162843704224,0.858081210191083,"[6, 9, 4, 10]",15520,15753,0.9634076655052265,0.9639488966318235
