,epoch,theta,train_loss,train_accuracy,validation_loss,validation_accuracy,test_accuracy,ranks,# effective parameters,cr_test,# effective parameters train,cr_train
0,0,0.2,2.2902560234069824,0.1455602198839187,2.284978151321411,0.1365704238414764,0.1404271870851516,"[10, 20, 79, 10]",119250,0.7229965156794425,126091,0.7071056910569106
1,1,0.2,2.1178526878356934,0.2346826195716858,1.797890305519104,0.3331685066223144,0.339695394039154,"[10, 20, 74, 10]",112750,0.7380952380952381,118826,0.7239814169570267
2,2,0.2,1.5906691551208496,0.4243805408477783,1.316198229789734,0.515625,0.5236352682113647,"[10, 20, 57, 10]",90650,0.7894308943089431,94499,0.7804901277584204
3,3,0.2,1.0480191707611084,0.6520259380340576,0.7855117321014404,0.7601858973503113,0.7513845562934875,"[10, 20, 37, 10]",64650,0.8498257839721255,66619,0.8452520325203252
4,4,0.2,0.6268454194068909,0.8074607849121094,0.7983553409576416,0.7150909900665283,0.7192447185516357,"[10, 20, 21, 10]",43850,0.8981416957026713,44891,0.8957235772357723
5,5,0.2,0.5243932008743286,0.834966242313385,0.5791975855827332,0.8029074668884277,0.8036984205245972,"[10, 20, 13, 10]",33450,0.9222996515679442,34219,0.9205133565621371
6,6,0.2,1.0398693084716797,0.6210914254188538,0.8762032985687256,0.7134098410606384,0.7151898741722107,"[10, 20, 7, 10]",25650,0.9404181184668989,26299,0.938910569105691
7,7,0.2,0.6889814138412476,0.7806063294410706,0.7925012707710266,0.7297270894050598,0.7231014966964722,"[10, 20, 7, 10]",25650,0.9404181184668989,26299,0.938910569105691
8,8,0.2,0.6172305941581726,0.8037042021751404,0.4737271964550018,0.8586826324462891,0.8597703576087952,"[10, 20, 7, 10]",25650,0.9404181184668989,26299,0.938910569105691
9,9,0.2,0.4200571179389953,0.8778809309005737,0.3773329854011535,0.891218364238739,0.8928994536399841,"[10, 20, 7, 10]",25650,0.9404181184668989,26299,0.938910569105691
10,10,0.2,0.3963424861431122,0.8883388638496399,0.390824943780899,0.8833067417144775,0.8842958211898804,"[10, 20, 7, 10]",25650,0.9404181184668989,26299,0.938910569105691
11,11,0.2,0.6720218062400818,0.7742728590965271,0.5861024260520935,0.8148733377456665,0.8198180794715881,"[10, 20, 7, 10]",25650,0.9404181184668989,26299,0.938910569105691
12,12,0.2,0.4871978461742401,0.8487251400947571,0.4256153106689453,0.871835470199585,0.8771756291389465,"[10, 20, 7, 10]",25650,0.9404181184668989,26299,0.938910569105691
13,13,0.2,0.5768662691116333,0.832720160484314,0.4404860436916351,0.8660005927085876,0.8662974834442139,"[10, 20, 7, 10]",25650,0.9404181184668989,26299,0.938910569105691
14,14,0.2,1.0399539470672607,0.6509025692939758,1.6115427017211914,0.3693630993366241,0.3720331788063049,"[10, 20, 7, 10]",25650,0.9404181184668989,26299,0.938910569105691
15,15,0.2,0.9077146649360656,0.6973463296890259,0.6500073671340942,0.7939079999923706,0.792820394039154,"[10, 20, 7, 10]",25650,0.9404181184668989,26299,0.938910569105691
16,16,0.2,0.5658115744590759,0.8239730596542358,0.5962103605270386,0.8098299503326416,0.8115110397338867,"[10, 20, 7, 10]",25650,0.9404181184668989,26299,0.938910569105691
17,17,0.2,0.5310232043266296,0.8319292068481445,1.388580322265625,0.5195807814598083,0.5265032052993774,"[10, 20, 7, 10]",25650,0.9404181184668989,26299,0.938910569105691
18,18,0.2,0.6583197712898254,0.7958998084068298,0.483229249715805,0.8512657880783081,0.8529468178749084,"[10, 20, 7, 10]",25650,0.9404181184668989,26299,0.938910569105691
19,19,0.2,0.4551922082901001,0.8646736741065979,0.411640852689743,0.8777689337730408,0.8820213079452515,"[10, 20, 7, 10]",25650,0.9404181184668989,26299,0.938910569105691
20,20,0.2,0.7066289186477661,0.7682824730873108,0.9893789291381836,0.6652492880821228,0.6648537516593933,"[10, 20, 7, 10]",25650,0.9404181184668989,26299,0.938910569105691
21,21,0.2,0.6553502082824707,0.7969944477081299,0.5374242067337036,0.8370251655578613,0.839893102645874,"[10, 20, 7, 10]",25650,0.9404181184668989,26299,0.938910569105691
22,22,0.2,0.4726771116256714,0.856952965259552,0.4514385461807251,0.8637260794639587,0.8679786324501038,"[10, 20, 7, 10]",25650,0.9404181184668989,26299,0.938910569105691
23,23,0.2,0.4188974797725677,0.8737850785255432,0.4160448908805847,0.8737143874168396,0.8753954768180847,"[10, 20, 7, 10]",25650,0.9404181184668989,26299,0.938910569105691
24,24,0.2,0.3846636712551117,0.8838556408882141,0.4137556850910187,0.8700551986694336,0.8693630695343018,"[10, 20, 7, 10]",25650,0.9404181184668989,26299,0.938910569105691
25,25,0.2,0.4909130930900574,0.8472903370857239,0.4874429106712341,0.8532435894012451,0.8574960827827454,"[10, 20, 7, 10]",25650,0.9404181184668989,26299,0.938910569105691
26,26,0.2,0.3689739406108856,0.8878756165504456,0.3533557653427124,0.8924049139022827,0.8895372152328491,"[10, 20, 7, 10]",25650,0.9404181184668989,26299,0.938910569105691
27,27,0.2,0.31717649102211,0.903001070022583,0.3171775937080383,0.9038766026496888,0.9076345562934875,"[10, 20, 7, 10]",25650,0.9404181184668989,26299,0.938910569105691
28,28,0.2,0.3109801709651947,0.9043198227882384,0.298552393913269,0.9076344966888428,0.9125789999961852,"[10, 20, 7, 10]",25650,0.9404181184668989,26299,0.938910569105691
29,29,0.2,0.2816539406776428,0.9142541885375975,0.2922328412532806,0.909908890724182,0.9168312549591064,"[10, 20, 7, 10]",25650,0.9404181184668989,26299,0.938910569105691
30,30,0.2,0.2680274248123169,0.9186494946479796,0.3181782066822052,0.9016019701957704,0.9000197052955627,"[10, 20, 7, 10]",25650,0.9404181184668989,26299,0.938910569105691
31,31,0.2,0.2589375674724579,0.9224061369895936,0.2598772346973419,0.9193037748336792,0.9204903244972228,"[10, 20, 7, 10]",25650,0.9404181184668989,26299,0.938910569105691
32,32,0.2,0.248319461941719,0.9239208698272704,0.2522531747817993,0.92147958278656,0.925830602645874,"[10, 20, 7, 10]",25650,0.9404181184668989,26299,0.938910569105691
33,33,0.2,0.2421630769968032,0.926006555557251,0.3050262331962585,0.9011076092720032,0.9022943377494812,"[10, 20, 7, 10]",25650,0.9404181184668989,26299,0.938910569105691
34,34,0.2,0.2344147115945816,0.927580952644348,0.2449331581592559,0.9263250827789308,0.92464417219162,"[10, 20, 7, 10]",25650,0.9404181184668989,26299,0.938910569105691
35,35,0.2,0.228604182600975,0.9303342700004578,0.2761625945568084,0.9093157649040222,0.9129747152328492,"[10, 20, 7, 10]",25650,0.9404181184668989,26299,0.938910569105691
36,36,0.2,0.2206342369318008,0.9320730566978456,0.2677571177482605,0.9173259139060974,0.9126779437065125,"[10, 20, 7, 10]",25650,0.9404181184668989,26299,0.938910569105691
37,37,0.2,0.2185535132884979,0.9326403737068176,0.2360274046659469,0.9269184470176696,0.9275118112564088,"[10, 20, 7, 10]",25650,0.9404181184668989,26299,0.938910569105691
38,38,0.2,0.2166456580162048,0.9340671300888062,0.228433296084404,0.9296876788139344,0.9312700629234314,"[10, 20, 7, 10]",25650,0.9404181184668989,26299,0.938910569105691
39,39,0.2,0.2086489647626876,0.9356653690338136,0.215467482805252,0.9336433410644532,0.9366098642349244,"[10, 20, 7, 10]",25650,0.9404181184668989,26299,0.938910569105691
40,40,0.2,0.204666331410408,0.9368439316749572,0.2274600118398666,0.9314677715301514,0.9322587847709656,"[10, 20, 7, 10]",25650,0.9404181184668989,26299,0.938910569105691
41,41,0.2,0.2063499391078949,0.9365009665489196,0.2238401919603347,0.9350278973579408,0.9317644238471984,"[10, 20, 7, 10]",25650,0.9404181184668989,26299,0.938910569105691
42,42,0.2,0.2040189653635025,0.9370520114898682,0.2469215393066406,0.9230616688728333,0.9246440529823304,"[10, 20, 7, 10]",25650,0.9404181184668989,26299,0.938910569105691
43,43,0.2,0.2030546218156814,0.9367162585258484,0.2249605655670166,0.9344342350959778,0.932852268218994,"[10, 20, 7, 10]",25650,0.9404181184668989,26299,0.938910569105691
44,44,0.2,0.2050305008888244,0.9367044568061828,0.2287045866250991,0.928500771522522,0.9322587847709656,"[10, 20, 7, 10]",25650,0.9404181184668989,26299,0.938910569105691
45,45,0.2,0.2045464664697647,0.9376360177993774,0.2281049042940139,0.9305777549743652,0.930478811264038,"[10, 20, 7, 10]",25650,0.9404181184668989,26299,0.938910569105691
46,46,0.2,0.2252403944730758,0.9296109676361084,0.2235593199729919,0.9310721755027772,0.9318633675575256,"[10, 20, 7, 10]",25650,0.9404181184668989,26299,0.938910569105691
