,epoch,theta,train_loss,train_accuracy,validation_loss,validation_accuracy,test_accuracy,ranks,# effective parameters,cr_test,# effective parameters train,cr_train
0,0,0.3,2.297243595123291,0.116547979414463,2.298687696456909,0.1122611761093139,0.113455444574356,"[6, 10, 58, 10]",86270,0.7996051103368177,89870,0.7912427409988385
1,1,0.3,2.295273780822754,0.1132111996412277,2.2949252128601074,0.1132564172148704,0.1135549694299697,"[6, 10, 58, 10]",86270,0.7996051103368177,89870,0.7912427409988385
2,2,0.3,2.2893097400665283,0.1500358581542968,2.277177333831787,0.2064092606306076,0.2065087407827377,"[6, 10, 58, 10]",86270,0.7996051103368177,89870,0.7912427409988385
3,3,0.3,2.232573747634888,0.2244244366884231,2.090560913085937,0.236265942454338,0.2398487329483032,"[6, 10, 58, 10]",86270,0.7996051103368177,89870,0.7912427409988385
4,4,0.3,1.889500856399536,0.2871841192245483,1.759315848350525,0.3352906107902527,0.3366840481758117,"[6, 10, 50, 10]",75870,0.8237630662020906,78606,0.8174076655052265
5,5,0.3,1.6957191228866575,0.3608531653881073,1.6118464469909668,0.4219745099544525,0.4233677983283996,"[6, 10, 37, 10]",58970,0.8630197444831591,60575,0.8592915214866435
6,6,0.3,1.5479816198349,0.4529449045658111,1.5093462467193604,0.4509355723857879,0.4438693821430206,"[6, 10, 22, 10]",39470,0.9083159117305459,40190,0.9066434378629501
7,7,0.3,1.3138718605041504,0.5807624459266663,0.9963305592536926,0.6941681504249573,0.698945164680481,"[6, 10, 7, 10]",19970,0.9536120789779327,20255,0.9529500580720093
8,8,0.3,1.0083149671554563,0.7007668614387512,0.9296298623085022,0.6987462043762207,0.7037221789360046,"[6, 10, 5, 10]",17370,0.9596515679442509,17631,0.9590452961672474
9,9,0.3,1.5169001817703247,0.4568009674549103,1.2780816555023191,0.5327427387237549,0.5317475199699402,"[6, 10, 5, 10]",17370,0.9596515679442509,17631,0.9590452961672474
10,10,0.3,1.0374948978424072,0.6636422276496887,0.8654482960700989,0.744327187538147,0.7458201050758362,"[6, 10, 5, 10]",17370,0.9596515679442509,17631,0.9590452961672474
11,11,0.3,0.8340153098106384,0.7406882643699646,1.1673002243041992,0.5691677927970886,0.5750396251678467,"[6, 10, 5, 10]",17370,0.9596515679442509,17631,0.9590452961672474
12,12,0.3,1.063701629638672,0.6549112796783447,0.7376237511634827,0.7803542017936707,0.7920976877212524,"[6, 10, 5, 10]",17370,0.9596515679442509,17631,0.9590452961672474
13,13,0.3,1.1291396617889404,0.630114734172821,0.7689055800437927,0.7886145710945129,0.7968750596046448,"[6, 10, 5, 10]",17370,0.9596515679442509,17631,0.9590452961672474
