,epoch,theta,train_loss,train_accuracy,validation_loss,validation_accuracy,test_accuracy,ranks,# effective parameters,cr_test,# effective parameters train,cr_train
0,0,0.11,1.9107080698013303,0.4384589493274688,1.1992275714874268,0.6399284601211548,0.6381369829177856,"[15, 45, 203, 10]",294425,0.31608594657375144,337984,0.21490360046457613
1,1,0.11,0.6951779127120972,0.7916795015335083,0.5119097828865051,0.8410627245903015,0.8438494205474854,"[15, 45, 185, 10]",271025,0.3704413472706156,307600,0.2854819976771197
2,2,0.11,0.5209730267524719,0.845007598400116,0.5161200165748596,0.8496216535568237,0.8502189517021179,"[15, 45, 174, 10]",256725,0.4036585365853659,289351,0.32787224157955863
3,3,0.11,0.3372773826122284,0.9011741280555724,0.3723296225070953,0.8843550086021423,0.8881369829177856,"[15, 45, 167, 10]",247625,0.4247967479674797,277864,0.35455516840882695
4,4,0.11,0.3414127826690674,0.894920289516449,0.867122232913971,0.7119827270507812,0.7044187784194946,"[15, 45, 161, 10]",239825,0.44291521486643437,268096,0.3772450638792102
5,5,0.11,0.4745141863822937,0.850762665271759,0.3873940110206604,0.8900277614593506,0.8916202783584595,"[15, 45, 152, 10]",228125,0.4700929152148664,253579,0.41096631823461094
6,6,0.11,0.3193018138408661,0.9066095352172852,0.3413977921009063,0.9003781676292419,0.9005773067474365,"[15, 45, 147, 10]",221625,0.485191637630662,245584,0.4295377468060395
7,7,0.11,0.2730868756771087,0.92017662525177,0.3700755834579468,0.8824641108512878,0.8868432641029358,"[15, 45, 141, 10]",213825,0.5033101045296167,236056,0.4516701509872242
8,8,0.11,0.7661436796188354,0.7666246294975281,1.101788878440857,0.5991240739822388,0.5980294942855835,"[15, 45, 132, 10]",202125,0.5304878048780488,221899,0.48455516840882695
9,9,0.11,0.6729414463043213,0.7897814512252808,0.5343375205993652,0.8311104774475098,0.8324045538902283,"[15, 45, 119, 10]",185225,0.5697444831591173,201736,0.5313914053426249
10,10,0.11,0.405069887638092,0.8809732794761658,0.4702423512935638,0.8505170941352844,0.8573845624923706,"[15, 45, 112, 10]",176125,0.5908826945412311,191019,0.5562857142857143
11,11,0.11,0.3190591335296631,0.9067290425300598,0.332086443901062,0.9018707871437072,0.9015726447105408,"[15, 45, 107, 10]",169625,0.6059814169570268,183424,0.5739279907084784
12,12,0.11,0.2915872037410736,0.9132625460624696,0.2718258798122406,0.9205809235572816,0.921576201915741,"[15, 45, 102, 10]",163125,0.6210801393728222,175879,0.5914541231126598
13,13,0.11,0.2517569363117218,0.9243528842926024,0.3051142394542694,0.90794175863266,0.9063493609428406,"[15, 45, 97, 10]",156625,0.6361788617886179,168384,0.6088641114982578
