,epoch,theta,train_loss,train_accuracy,validation_loss,validation_accuracy,test_accuracy,ranks,# effective parameters,cr_test,# effective parameters train,cr_train
0,0,0.15,2.249332427978516,0.2516581416130066,2.036755084991455,0.3418591618537903,0.3389728963375091,"[13, 31, 143, 10]",208635,0.5153658536585366,230314,0.4650081300813008
1,1,0.15,1.4333449602127075,0.5025572776794434,1.039358615875244,0.620222806930542,0.6206209063529968,"[13, 31, 122, 10]",181335,0.5787804878048781,197449,0.5413495934959349
2,2,0.15,0.7438569664955139,0.7638864517211914,0.6653457283973694,0.7853301763534546,0.7838374972343445,"[13, 31, 105, 10]",159235,0.6301161440185831,171490,0.6016492450638793
3,3,0.15,0.5079681277275085,0.8458676338195801,0.4824182391166687,0.8555930256843567,0.853801965713501,"[13, 31, 95, 10]",146235,0.6603135888501742,156490,0.6364924506387921
4,4,0.15,1.3412415981292725,0.5501713156700134,1.4482313394546509,0.4216759502887726,0.4210789203643799,"[13, 31, 82, 10]",129335,0.6995702671312427,137289,0.6810940766550523
5,5,0.15,0.9143563508987428,0.7056025862693787,1.1285624504089355,0.6451035141944885,0.6488852500915527,"[13, 31, 65, 10]",107235,0.7509059233449478,112690,0.7382346109175377
6,6,0.15,1.2432152032852173,0.602861225605011,0.7862598896026611,0.7534833550453186,0.7479097843170166,"[13, 31, 51, 10]",89035,0.7931823461091754,92866,0.7842833914053426
7,7,0.15,0.5521031022071838,0.8359559774398804,0.5181947350502014,0.8455414175987244,0.8408640623092651,"[13, 31, 42, 10]",77335,0.8203600464576074,80329,0.8134053426248549
8,8,0.15,1.0646450519561768,0.6596869230270386,0.8080573678016663,0.7636348009109497,0.7628380656242371,"[13, 31, 30, 10]",61735,0.8565969802555169,63865,0.8516492450638792
9,9,0.15,0.6379265785217285,0.8080434799194336,0.5668068528175354,0.8186703324317932,0.8175755739212036,"[13, 31, 21, 10]",50035,0.8837746806039489,51706,0.8798931475029036
10,10,0.15,0.4024184644222259,0.8826119303703308,0.3439949154853821,0.8988852500915527,0.8987857699394226,"[13, 31, 20, 10]",48735,0.886794425087108,50365,0.8830081300813009
11,11,0.15,0.3216942250728607,0.9055696725845336,0.3270559906959533,0.8990843296051025,0.9026671051979064,"[13, 31, 20, 10]",48735,0.886794425087108,50365,0.8830081300813009
12,12,0.15,0.3452644348144531,0.8960990309715271,0.3903706073760986,0.8742039799690247,0.8753980994224548,"[13, 31, 19, 10]",47435,0.8898141695702672,49026,0.8861184668989547
13,13,0.15,0.2828411161899566,0.9150814414024352,0.3067293465137481,0.9082401990890504,0.9100317358970642,"[13, 31, 18, 10]",46135,0.8928339140534263,47689,0.8892241579558653
14,14,0.15,0.2487733066082,0.9264106154441832,0.2728267908096313,0.9138135313987732,0.9145103693008424,"[13, 31, 18, 10]",46135,0.8928339140534263,47689,0.8892241579558653
15,15,0.15,0.229104682803154,0.930367648601532,0.2710881531238556,0.9175955057144164,0.9178940653800964,"[13, 31, 18, 10]",46135,0.8928339140534263,47689,0.8892241579558653
16,16,0.15,0.2172679752111435,0.9350438117980956,0.2290506362915039,0.9283435940742492,0.9327226281166076,"[13, 31, 18, 10]",46135,0.8928339140534263,47689,0.8892241579558653
17,17,0.15,0.2113648951053619,0.936162531375885,0.2573369443416595,0.9205809831619264,0.9215761423110962,"[13, 31, 18, 10]",46135,0.8928339140534263,47689,0.8892241579558653
18,18,0.15,0.2738322913646698,0.9182583093643188,0.2178761065006256,0.9360068440437316,0.9406844973564148,"[13, 31, 17, 10]",44835,0.8958536585365854,46354,0.8923252032520326
19,19,0.15,0.2398886531591415,0.927270770072937,0.4432486891746521,0.8467355966567993,0.8483278155326843,"[13, 31, 17, 10]",44835,0.8958536585365854,46354,0.8923252032520326
20,20,0.15,0.2142205834388733,0.935042440891266,0.2470322251319885,0.922471821308136,0.9281449913978576,"[13, 31, 17, 10]",44835,0.8958536585365854,46354,0.8923252032520326
