,epoch,theta,train_loss,train_accuracy,validation_loss,validation_accuracy,ranks,# effective parameters,forward time,opt step time
0,0,0.11,2.0807323455810547,0.37543957800511607,2.311461925506592,0.14669585987261158,"[15, 46, 43, 10]","[675, 25300, 55900, 5100]",0.0054476261138916016,0.06011676788330078
1,1,0.11,2.0720150470733643,0.3854100063938623,1.9754282236099243,0.480891719745223,"[15, 46, 36, 10]","[675, 25300, 46800, 5100]",0.005764007568359375,0.06816673278808594
2,2,0.11,1.9245429039001465,0.5335477941176456,1.8822999000549316,0.5760350318471337,"[15, 46, 31, 10]","[675, 25300, 40300, 5100]",0.0065631866455078125,0.0691986083984375
3,3,0.11,1.886125922203064,0.5717910805626583,1.9023295640945435,0.5568272292993628,"[15, 46, 27, 10]","[675, 25300, 35100, 5100]",0.0058002471923828125,0.06064271926879883
4,4,0.11,1.8745002746582031,0.5827006074168789,1.8627523183822632,0.59375,"[15, 46, 25, 10]","[675, 25300, 32500, 5100]",0.006133556365966797,0.06359338760375977
5,5,0.11,1.86878502368927,0.5874560421994872,1.859495997428894,0.5961385350318473,"[15, 46, 24, 10]","[675, 25300, 31200, 5100]",0.00549626350402832,0.06026506423950195
6,6,0.11,1.8829628229141235,0.5743486253196923,1.8674105405807495,0.588873407643312,"[15, 46, 22, 10]","[675, 25300, 28600, 5100]",0.005635261535644531,0.05761528015136719
7,7,0.11,1.8676252365112305,0.5881753516624034,1.8591113090515137,0.5960390127388534,"[15, 46, 21, 10]","[675, 25300, 27300, 5100]",0.0054798126220703125,0.05856609344482422
8,8,0.11,1.8640044927597046,0.5909526854219942,1.8574327230453491,0.5972332802547771,"[15, 46, 20, 10]","[675, 25300, 26000, 5100]",0.005416393280029297,0.05746006965637207
9,9,0.11,1.8615097999572754,0.5924312659846542,1.859427809715271,0.5944466560509556,"[15, 46, 19, 10]","[675, 25300, 24700, 5100]",0.005597114562988281,0.05547308921813965
10,10,0.11,1.851842999458313,0.6019421355498715,1.879910945892334,0.5763335987261146,"[15, 46, 18, 10]","[675, 25300, 23400, 5100]",0.005468130111694336,0.05519270896911621
11,11,0.11,1.7833422422409058,0.6745124680306911,1.7780299186706543,0.6795382165605099,"[15, 46, 16, 10]","[675, 25300, 20800, 5100]",0.005336284637451172,0.059476613998413086
12,12,0.11,1.7775306701660156,0.6804068094629167,1.7728124856948853,0.6851114649681528,"[15, 46, 15, 10]","[675, 25300, 19500, 5100]",0.007055521011352539,0.06140279769897461
13,13,0.11,1.7757545709609985,0.6821451406649628,1.7705934047698975,0.6868033439490446,"[15, 46, 15, 10]","[675, 25300, 19500, 5100]",0.005730867385864258,0.057932138442993164
14,14,0.11,1.771506905555725,0.6858016304347828,1.7680240869522095,0.6887937898089174,"[15, 46, 15, 10]","[675, 25300, 19500, 5100]",0.005654335021972656,0.05559849739074707
15,15,0.11,1.7695289850234985,0.6875,1.766689658164978,0.6891918789808917,"[15, 46, 15, 10]","[675, 25300, 19500, 5100]",0.005489826202392578,0.05540609359741211
16,16,0.11,1.7678111791610718,0.6890984654731455,1.7649965286254883,0.6900875796178346,"[15, 46, 15, 10]","[675, 25300, 19500, 5100]",0.0054204463958740234,0.05619549751281738
17,17,0.11,1.765698790550232,0.6903972186700763,1.7639371156692505,0.6909832802547772,"[15, 46, 15, 10]","[675, 25300, 19500, 5100]",0.005596637725830078,0.058676719665527344
18,18,0.11,1.766174077987671,0.6901974104859335,1.7653629779815674,0.6895899681528666,"[15, 46, 15, 10]","[675, 25300, 19500, 5100]",0.005545616149902344,0.0573267936706543
19,19,0.11,1.7666257619857788,0.6896579283887467,1.7641369104385376,0.6909832802547772,"[15, 46, 15, 10]","[675, 25300, 19500, 5100]",0.005509138107299805,0.057723045349121094
20,20,0.11,1.7659094333648682,0.690017583120205,1.7641311883926392,0.6898885350318473,"[15, 46, 14, 10]","[675, 25300, 18200, 5100]",0.005496025085449219,0.05754232406616211
21,21,0.11,1.7647864818572998,0.6904971227621484,1.7636158466339111,0.69078423566879,"[15, 46, 14, 10]","[675, 25300, 18200, 5100]",0.005366086959838867,0.05529046058654785
22,22,0.11,1.762465476989746,0.6921355498721228,1.7631100416183472,0.6915804140127391,"[15, 46, 14, 10]","[675, 25300, 18200, 5100]",0.005352973937988281,0.05755043029785156
23,23,0.11,1.7618650197982788,0.6922154731457804,1.7959033250808716,0.6625199044585987,"[15, 46, 14, 10]","[675, 25300, 18200, 5100]",0.005494832992553711,0.05517292022705078
24,24,0.11,1.7632020711898804,0.6911165281329926,1.7626975774765015,0.6909832802547772,"[15, 46, 14, 10]","[675, 25300, 18200, 5100]",0.005506753921508789,0.057211875915527344
25,25,0.11,1.7355149984359741,0.7199688299232747,1.6752067804336548,0.7824442675159239,"[15, 46, 14, 10]","[675, 25300, 18200, 5100]",0.005488395690917969,0.05482220649719238
26,26,0.11,1.6698768138885498,0.7870843989769838,1.6709437370300293,0.7852308917197458,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.005430459976196289,0.05619406700134277
27,27,0.11,1.6671420335769653,0.789162404092073,1.6698613166809082,0.7852308917197458,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.005584001541137695,0.05481433868408203
28,28,0.11,1.666751742362976,0.7892223465473164,1.6736927032470703,0.7834394904458604,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.0055844783782958984,0.05477499961853027
29,29,0.11,1.6755818128585815,0.7818494245524311,1.6727488040924072,0.7832404458598733,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.005400419235229492,0.055643320083618164
30,30,0.11,1.667255163192749,0.7888027493606155,1.6700242757797241,0.7850318471337585,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.0055506229400634766,0.05753827095031738
31,31,0.11,1.6652554273605347,0.7904012148337615,1.6688898801803589,0.7854299363057331,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.005313873291015625,0.05529594421386719
32,32,0.11,1.6639431715011597,0.7915001598465495,1.668703556060791,0.784932324840765,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.005265951156616211,0.055846452713012695
33,33,0.11,1.6629037857055664,0.7919796994884931,1.6685043573379517,0.7856289808917206,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.005681514739990234,0.059038400650024414
34,34,0.11,1.662514328956604,0.7921595268542223,1.6685130596160889,0.7845342356687905,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.005484104156494141,0.0578761100769043
35,35,0.11,1.6614933013916016,0.7932185102301811,1.667279839515686,0.7863256369426759,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.005810260772705078,0.05615234375
36,36,0.11,1.6258951425552368,0.8310022378516643,1.613348364830017,0.8457404458598731,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.0056247711181640625,0.05387687683105469
37,37,0.11,1.5761812925338745,0.8824528452685447,1.5849874019622803,0.8732085987261153,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.005748271942138672,0.05883145332336426
38,38,0.11,1.5726666450500488,0.885929507672637,1.5849261283874512,0.8736066878980898,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.005521297454833984,0.056264638900756836
39,39,0.11,1.5708763599395752,0.887587915601026,1.5785578489303589,0.8796775477707012,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.005383729934692383,0.058182477951049805
40,40,0.11,1.570244312286377,0.8879475703324834,1.5786030292510986,0.8789808917197461,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.00639796257019043,0.05641460418701172
41,41,0.11,1.5690878629684448,0.8894061700767291,1.5780324935913086,0.8798765923566885,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.005611896514892578,0.05909013748168945
42,42,0.11,1.5769495964050293,0.8817335358056295,1.580945611000061,0.8769904458598733,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.0055179595947265625,0.055467844009399414
43,43,0.11,1.5733847618103027,0.8851302749360643,1.5806349515914917,0.877089968152867,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.005592823028564453,0.05867195129394531
44,44,0.11,1.5715181827545166,0.886828644501282,1.580248475074768,0.8775875796178351,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.006102085113525391,0.06529879570007324
45,45,0.11,1.5763051509857178,0.8827725383631742,1.596291184425354,0.8639530254777078,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.005362749099731445,0.05692911148071289
46,46,0.11,1.6084247827529907,0.8516823849104891,1.6906949281692505,0.7678144904458606,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.005466461181640625,0.055408477783203125
47,47,0.11,1.6711899042129517,0.787783727621486,1.6795395612716675,0.778463375796179,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.005520343780517578,0.05796051025390625
48,48,0.11,1.6170601844787598,0.8429907289002592,1.5833721160888672,0.8773885350318475,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.007563352584838867,0.06322026252746582
49,49,0.11,1.5727967023849487,0.8883072250639416,1.5890045166015625,0.8723128980891722,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.0057260990142822266,0.05643200874328613
50,50,0.11,1.5707900524139404,0.8903452685422024,1.5799349546432495,0.8803742038216563,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.00566411018371582,0.05807042121887207
51,51,0.11,1.5695558786392212,0.8916440217391325,1.5817581415176392,0.8788813694267522,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.0058557987213134766,0.05969381332397461
52,52,0.11,1.5700716972351074,0.8910445971867034,1.5816950798034668,0.8787818471337585,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.00559687614440918,0.05678510665893555
53,53,0.11,1.5708776712417603,0.8904251918158591,1.5819311141967773,0.8789808917197456,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.005463361740112305,0.059537410736083984
54,54,0.11,1.5707379579544067,0.8904052109974449,1.5796316862106323,0.8814689490445865,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.005385637283325195,0.05424809455871582
55,55,0.11,1.573133945465088,0.8878276854219972,1.6114060878753662,0.8491242038216564,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.0055294036865234375,0.056908607482910156
56,56,0.11,1.571350336074829,0.8897258631713589,1.5802085399627686,0.8803742038216568,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.005524396896362305,0.0546414852142334
57,57,0.11,1.569347620010376,0.8916240409207191,1.5848479270935059,0.8751990445859883,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.005599498748779297,0.05857586860656738
58,58,0.11,1.5684500932693481,0.8925631393861916,1.5792609453201294,0.8814689490445867,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.00553131103515625,0.05692553520202637
59,59,0.11,1.567777156829834,0.8931625639386217,1.5795834064483643,0.8809713375796188,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.005587100982666016,0.056586265563964844
60,60,0.11,1.5675690174102783,0.8933623721227653,1.5785531997680664,0.8817675159235673,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.0055849552154541016,0.05565953254699707
61,61,0.11,1.5802167654037476,0.880894341432228,1.6299238204956055,0.8308121019108287,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.005425691604614258,0.0599365234375
62,62,0.11,1.579170823097229,0.8816935741688012,1.58376145362854,0.8770899681528669,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.005502223968505859,0.05514717102050781
63,63,0.11,1.5756733417510986,0.8851702365728932,1.5832233428955078,0.8766918789808925,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.005341768264770508,0.05445432662963867
64,64,0.11,1.5694056749343872,0.8913043478260908,1.57937753200531,0.880573248407644,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.005732536315917969,0.05506539344787598
65,65,0.11,1.5677844285964966,0.892922794117651,1.578997015953064,0.8814689490445868,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.005411863327026367,0.05572819709777832
66,66,0.11,1.5673331022262573,0.8934023337595943,1.5873767137527466,0.8722133757961794,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.005681514739990234,0.05951499938964844
67,67,0.11,1.5697380304336548,0.8910845588235327,1.5924514532089233,0.8683320063694276,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.0056073665618896484,0.05529904365539551
68,68,0.11,1.5918607711791992,0.8691256393861925,1.587399959564209,0.873109076433122,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.0054585933685302734,0.05441451072692871
69,69,0.11,1.5757867097854614,0.8852301790281365,1.5839442014694214,0.876293789808918,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.005339384078979492,0.05747175216674805
70,70,0.11,1.571790337562561,0.8892063618925858,1.5902087688446045,0.8707205414012748,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.005637168884277344,0.05504131317138672
71,71,0.11,1.5718309879302979,0.8888666879795433,1.5843074321746826,0.8757961783439497,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.0055429935455322266,0.05440640449523926
72,72,0.11,1.5721076726913452,0.8885869565217428,1.5898356437683105,0.8710191082802555,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.005686521530151367,0.05767202377319336
73,73,0.11,1.5704830884933472,0.890505115089517,1.5813928842544556,0.8789808917197458,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.005377531051635742,0.0573115348815918
74,74,0.11,1.5682413578033447,0.8927429667519209,1.5797752141952515,0.8800756369426757,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.005489349365234375,0.05830955505371094
75,75,0.11,1.5668679475784302,0.8941216432225094,1.5788298845291138,0.8808718152866245,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.005675315856933594,0.06114959716796875
76,76,0.11,1.5662875175476074,0.8947610294117673,1.5780529975891113,0.8819665605095541,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.0061533451080322266,0.060381412506103516
77,77,0.11,1.5655263662338257,0.8953604539641968,1.577369213104248,0.8834593949044588,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.005633354187011719,0.05910038948059082
78,78,0.11,1.5650173425674438,0.8958799552429689,1.5776928663253784,0.8829617834394907,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.005735874176025391,0.060433387756347656
79,79,0.11,1.564595103263855,0.8963594948849127,1.5780702829360962,0.8817675159235668,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.0056879520416259766,0.05621767044067383
80,80,0.11,1.5106295347213745,0.9515065537084388,1.4849661588668823,0.9768113057324844,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.005701780319213867,0.05697941780090332
81,81,0.11,1.4764628410339355,0.9858535805626572,1.483486294746399,0.9780055732484078,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.005785226821899414,0.05689501762390137
82,82,0.11,1.4745758771896362,0.9877717391304321,1.4826600551605225,0.9791003184713376,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.00592803955078125,0.06407308578491211
83,83,0.11,1.4736002683639526,0.9887308184143194,1.4825942516326904,0.9791998407643315,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.0054361820220947266,0.05563211441040039
84,84,0.11,1.4727301597595215,0.9897898017902793,1.4823904037475586,0.9791003184713378,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.00542759895324707,0.057517290115356445
85,85,0.11,1.4726753234863281,0.9897698209718645,1.4822907447814941,0.9794984076433123,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.00592803955078125,0.05493044853210449
86,86,0.11,1.4716299772262573,0.9907688618925808,1.4820221662521362,0.9794984076433124,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.005597591400146484,0.06378555297851562
87,87,0.11,1.4715076684951782,0.9908088235294096,1.4824146032333374,0.9791003184713382,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.0055162906646728516,0.05871891975402832
88,88,0.11,1.4709248542785645,0.9912683823529381,1.4826661348342896,0.9788017515923573,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.005547761917114258,0.06199288368225098
89,89,0.11,1.470385193824768,0.9918478260869543,1.482034683227539,0.9799960191082808,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.005520820617675781,0.05583834648132324
90,90,0.11,1.4703655242919922,0.9916280370843961,1.482197642326355,0.9791998407643319,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.0053863525390625,0.05499076843261719
91,91,0.11,1.47002112865448,0.9919876918158537,1.4827704429626465,0.9786027070063699,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.005374908447265625,0.056353092193603516
92,92,0.11,1.4694262742996216,0.9925671355498688,1.482371211051941,0.9791003184713382,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.0055141448974609375,0.055375099182128906
93,93,0.11,1.4693423509597778,0.9927869245524262,1.4824846982955933,0.9786027070063699,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.005775928497314453,0.06091761589050293
94,94,0.11,1.4689311981201172,0.9930666560102269,1.4821661710739136,0.979896496815287,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.005925416946411133,0.061617136001586914
95,95,0.11,1.4687933921813965,0.9931265984654698,1.4815211296081543,0.9797969745222934,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.00541234016418457,0.056108713150024414
96,96,0.11,1.4686146974563599,0.9932664641943704,1.4813728332519531,0.9799960191082806,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.00561070442199707,0.05825519561767578
97,97,0.11,1.4684349298477173,0.993466272378513,1.4808828830718994,0.9808917197452234,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.005426883697509766,0.05405068397521973
98,98,0.11,1.4680923223495483,0.9937060421994848,1.4806997776031494,0.9806926751592362,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.0054950714111328125,0.05572915077209473
99,99,0.11,1.468163013458252,0.9936261189258274,1.4805995225906372,0.9813893312101916,"[15, 46, 13, 10]","[675, 25300, 16900, 5100]",0.00567626953125,0.05663108825683594
